Marker1	Marker2	Correlation	Lower	Upper	t-statistic
LINC00269	LINC00458	-0.050827	-0.324587	0.230791	-0.352595
LINC00269	LINC00459	0.457769	0.205616	0.652925	3.567221
LINC00271	LINC00272	0.905719	0.838848	0.945662	14.803793
LINC00271	LINC00273	0.842341	0.736728	0.907836	10.828416
LINC00271	LINC00276	-0.387224	-0.600818	-0.122024	-2.909772
LINC00271	LINC00278	0.185429	-0.097981	0.441018	1.307360
LINC00271	LINC00280	0.185320	-0.098093	0.440927	1.306564
LINC00271	LINC00290	0.188610	-0.094715	0.443670	1.330609
LINC00271	LINC00293	0.863633	0.770506	0.920663	11.869029
LINC00271	LINC00294	0.370121	0.102309	0.587905	2.760300
LINC00271	LINC00297	0.482023	0.235232	0.670423	3.811581
LINC00271	LINC00298	-0.155790	-0.416099	0.128118	-1.092688
LINC00271	LINC00299	-0.379987	-0.595367	-0.113655	-2.846104
LINC00271	LINC00301	0.125352	-0.158532	0.390094	0.875371
LINC00271	LINC00303	0.725992	0.561009	0.835504	7.313936
LINC00271	LINC00304	0.600598	0.386932	0.753056	5.204256
LINC00271	LINC00305	0.847236	0.744446	0.910795	11.049749
LINC00271	LINC00308	-0.049893	-0.323749	0.231677	-0.346100
LINC00271	LINC00309	0.854318	0.755663	0.915066	11.387921
LINC00271	LINC00310	0.754048	0.602063	0.853300	7.953771
LINC00271	LINC00311	0.716717	0.547614	0.829570	7.120474
LINC00271	LINC00313	0.399450	0.136247	0.609980	3.018769
LINC00271	LINC00314	0.840367	0.733622	0.906640	10.741786
LINC00271	LINC00315	0.852256	0.752392	0.913824	11.287177
LINC00271	LINC00319	0.892066	0.816443	0.937603	13.676318
LINC00271	LINC00320	-0.100785	-0.368792	0.182693	-0.701834
LINC00271	LINC00322	0.925530	0.871765	0.957268	16.933453
LINC00271	LINC00324	0.304085	0.028112	0.536986	2.211488
LINC00271	LINC00326	0.788026	0.652882	0.874547	8.868144
LINC00271	LINC00327	0.685065	0.502542	0.809126	6.515288
LINC00271	LINC00330	0.281231	0.003123	0.518959	2.030372
LINC00271	LINC00331	0.183723	-0.099729	0.439595	1.294914
LINC00271	LINC00332	0.234584	-0.046827	0.481496	1.671895
LINC00271	LINC00334	0.810960	0.687886	0.888703	9.602596
LINC00271	LINC00337	0.303600	0.027578	0.536605	2.207601
LINC00271	LINC00339	0.551342	0.322480	0.719305	4.578575
LINC00271	LINC00342	0.889477	0.812221	0.936070	13.485222
LINC00271	LINC00343	0.473581	0.224871	0.664356	3.725306
LINC00271	LINC00345	0.842933	0.737659	0.908194	10.854653
LINC00271	LINC00346	0.615279	0.406555	0.762963	5.407490
LINC00271	LINC00347	0.745829	0.589952	0.848111	7.757036
LINC00271	LINC00348	0.845239	0.741295	0.909589	10.958316
LINC00271	LINC00350	0.211204	-0.071343	0.462374	1.497036
