##The total sample size of case group is 25.
##The total sample size of control group is 25.
Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
54	84	0.449231	0.065768	0.717081	2.411459	25	0.213201	0.010769	-0.386011	0.404187	0.051650	25	0.213201	1.568652	0.116729
54	85	0.684362	0.396425	0.849721	4.501299	25	0.213201	0.539334	0.183250	0.770310	3.071587	25	0.213201	0.776280	0.437584
54	86	0.668462	0.371432	0.841366	4.310378	25	0.213201	0.542308	0.187308	0.772013	3.095546	25	0.213201	0.665109	0.505981
54	87	0.587692	0.250794	0.797609	3.483534	25	0.213201	0.098462	-0.308686	0.475114	0.474511	25	0.213201	1.908226	0.056362
54	88	0.642431	0.331426	0.827507	4.020381	25	0.213201	0.772072	0.542409	0.894362	5.826149	25	0.213201	-0.872716	0.382818
54	89	0.876154	0.735725	0.944355	8.717034	25	0.213201	0.601538	0.270758	0.805271	3.611315	25	0.213201	2.200298	0.027786
54	90	0.653077	0.347653	0.833202	4.135854	25	0.213201	0.102308	-0.305166	0.478117	0.493239	25	0.213201	2.248600	0.024538
54	91	0.648462	0.340595	0.830738	4.085285	25	0.213201	0.229275	-0.182386	0.572543	1.129656	25	0.213201	1.788375	0.073716
54	92	0.860000	0.704143	0.936797	8.082430	25	0.213201	0.742308	0.491265	0.879481	5.312937	25	0.213201	1.120173	0.262640
54	93	0.696154	0.415239	0.855863	4.650607	25	0.213201	0.144615	-0.265705	0.510577	0.700919	25	0.213201	2.368608	0.017855
54	94	0.710769	0.438897	0.863415	4.845901	25	0.213201	0.523077	0.161273	0.760938	2.943367	25	0.213201	1.022086	0.306740
54	95	0.725385	0.462937	0.870899	5.053902	25	0.213201	0.655126	0.350798	0.834294	4.158560	25	0.213201	0.446717	0.655079
54	96	0.796923	0.586458	0.906583	6.326818	25	0.213201	0.693846	0.411538	0.854665	4.620833	25	0.213201	0.778705	0.436153
54	97	0.588190	0.251507	0.797886	3.488044	25	0.213201	0.480769	0.105714	0.736075	2.629521	25	0.213201	0.500512	0.616715
54	98	0.678462	0.387100	0.846630	4.429116	25	0.213201	0.933846	0.853735	0.970771	12.521340	25	0.213201	-2.856887	0.004278
54	99	0.371538	-0.027660	0.668530	1.919218	25	0.213201	-0.467692	-0.728248	-0.089003	-2.537612	25	0.213201	2.976071	0.002920
55	56	0.352308	-0.049756	0.656108	1.805361	25	0.213201	-0.016923	-0.409323	0.380760	-0.081172	25	0.213201	1.276903	0.201637
55	57	0.638462	0.325421	0.825374	3.978353	25	0.213201	0.363601	-0.036827	0.663423	1.871894	25	0.213201	1.242217	0.214157
55	58	0.647692	0.339422	0.830326	4.076933	25	0.213201	0.467692	0.089003	0.728248	2.537612	25	0.213201	0.876254	0.380892
55	59	0.637692	0.324261	0.824960	3.970271	25	0.213201	0.400000	0.005775	0.686615	2.093073	25	0.213201	1.096562	0.272833
55	60	0.695385	0.414004	0.855464	4.640652	25	0.213201	0.596923	0.264071	0.802725	3.568176	25	0.213201	0.563674	0.572976
55	61	0.331538	-0.073187	0.642506	1.685322	25	0.213201	0.189231	-0.222547	0.543714	0.924217	25	0.213201	0.507498	0.611805
55	62	0.101538	-0.305871	0.477517	0.489491	25	0.213201	0.159646	-0.251347	0.521863	0.775583	25	0.213201	-0.196125	0.844512
55	63	0.383846	-0.013310	0.676394	1.993575	25	0.213201	0.041538	-0.359499	0.429624	0.199384	25	0.213201	1.203936	0.228614
55	64	0.476923	0.100777	0.733780	2.602259	25	0.213201	0.218462	-0.193368	0.564841	1.073638	25	0.213201	0.984885	0.324681
55	65	0.736923	0.482194	0.876760	5.228227	25	0.213201	0.598462	0.266296	0.803574	3.582494	25	0.213201	0.838991	0.401474
55	66	0.617692	0.294413	0.814124	3.766879	25	0.213201	0.296154	-0.112102	0.618870	1.487011	25	0.213201	1.379606	0.167708
55	67	0.729231	0.469329	0.872857	5.110963	25	0.213201	0.363077	-0.037430	0.663085	1.868783	25	0.213201	1.813056	0.069823
55	68	0.599231	0.267410	0.803999	3.589676	25	0.213201	0.461538	0.081212	0.724541	2.495108	25	0.213201	0.639053	0.522789
55	69	-0.128462	-0.498305	0.280936	-0.621227	25	0.213201	-0.385385	-0.677372	0.011505	-2.002956	25	0.213201	0.919345	0.357915
55	70	-0.035385	-0.424586	0.364854	-0.169805	25	0.213201	-0.179231	-0.536381	0.232363	-0.873708	25	0.213201	0.483526	0.628723
55	71	0.581538	0.242013	0.794183	3.428267	25	0.213201	0.383846	-0.013310	0.676394	1.993575	25	0.213201	0.863057	0.388106
55	72	0.475385	0.098807	0.732860	2.591409	25	0.213201	0.173846	-0.237614	0.532411	0.846629	25	0.213201	1.132211	0.257546
55	73	0.460088	0.079383	0.723665	2.485160	25	0.213201	-0.018080	-0.410287	0.379770	-0.086725	25	0.213201	1.709740	0.087314
55	74	0.530487	0.171245	0.765222	3.001232	25	0.213201	0.492308	0.120638	0.742925	2.712508	25	0.213201	0.171537	0.863801
55	75	0.245864	-0.165336	0.584242	1.216462	25	0.213201	0.310000	-0.097022	0.628189	1.563743	25	0.213201	-0.230637	0.817597
55	76	0.684615	0.396826	0.849853	4.504431	25	0.213201	0.333910	-0.070533	0.644069	1.698886	25	0.213201	1.626894	0.103760
55	77	0.556154	0.206367	0.779902	3.209345	25	0.213201	0.551538	0.199984	0.777280	3.170997	25	0.213201	0.022081	0.982384
55	78	0.493846	0.122640	0.743834	2.723713	25	0.213201	-0.053077	-0.439007	0.349388	-0.254907	25	0.213201	1.970942	0.048731
55	79	0.630000	0.312707	0.820808	3.890539	25	0.213201	0.464615	0.085101	0.726396	2.516302	25	0.213201	0.790136	0.429448
55	80	0.666923	0.369037	0.840553	4.292494	25	0.213201	0.332308	-0.072327	0.643013	1.689717	25	0.213201	1.524853	0.127296
55	81	0.799231	0.590612	0.907708	6.377407	25	0.213201	0.796923	0.586458	0.906583	6.326818	25	0.213201	0.021080	0.983181
55	82	0.936923	0.860269	0.972156	12.855129	25	0.213201	0.680769	0.390740	0.847840	4.457151	25	0.213201	2.924282	0.003453
55	83	-0.261538	-0.595169	0.148997	-1.299527	25	0.213201	-0.104615	-0.479914	0.303049	-0.504486	25	0.213201	-0.539813	0.589326
55	84	0.356154	-0.045368	0.658606	1.827915	25	0.213201	-0.236154	-0.577411	0.175346	-1.165520	25	0.213201	2.033658	0.041986
55	85	0.645893	0.336683	0.829363	4.057486	25	0.213201	0.389306	-0.006892	0.679861	2.026953	25	0.213201	1.184828	0.236085
55	86	0.276154	-0.133557	0.605247	1.377972	25	0.213201	0.016154	-0.381418	0.408683	0.077481	25	0.213201	0.886727	0.375226
55	87	0.398462	0.003945	0.685646	2.083499	25	0.213201	0.089231	-0.317087	0.467872	0.429650	25	0.213201	1.102280	0.270340
55	88	0.384689	-0.012321	0.676930	1.998714	25	0.213201	0.485093	0.111287	0.738648	2.660407	25	0.213201	-0.411499	0.680706
55	89	0.700769	0.422669	0.858256	4.711000	25	0.213201	0.522308	0.160241	0.760492	2.937413	25	0.213201	0.959508	0.337303
55	90	0.661538	0.360683	0.837702	4.230670	25	0.213201	0.393846	-0.001529	0.682734	2.054905	25	0.213201	1.257665	0.208513
55	91	0.731538	0.473177	0.874030	5.145694	25	0.213201	0.504328	0.136365	0.750005	2.800969	25	0.213201	1.250154	0.211243
55	92	0.430769	0.042941	0.705775	2.289178	25	0.213201	0.306154	-0.101230	0.625609	1.542321	25	0.213201	0.479401	0.631653
55	93	0.644615	0.334740	0.828679	4.043739	25	0.213201	0.260769	-0.149804	0.594636	1.295425	25	0.213201	1.655318	0.097860
55	94	0.585385	0.247495	0.796326	3.462703	25	0.213201	0.412308	0.020512	0.694327	2.170429	25	0.213201	0.770210	0.441175
55	95	0.677692	0.385889	0.846226	4.419824	25	0.213201	0.557030	0.207582	0.780399	3.216674	25	0.213201	0.651109	0.514976
55	96	0.548462	0.195746	0.775528	3.145666	25	0.213201	0.014615	-0.382732	0.407400	0.070100	25	0.213201	1.995155	0.046026
55	97	0.605501	0.276524	0.807451	3.648805	25	0.213201	0.184615	-0.227088	0.540336	0.900869	25	0.213201	1.708163	0.087606
55	98	0.263077	-0.147381	0.596235	1.307738	25	0.213201	0.247692	-0.163441	0.585523	1.226097	25	0.213201	0.054586	0.956468
55	99	0.065385	-0.338498	0.448924	0.314246	25	0.213201	-0.286923	-0.612607	0.122052	-1.436432	25	0.213201	1.196267	0.231592
56	57	0.683077	0.394389	0.849048	4.485435	25	0.213201	0.016160	-0.381413	0.408688	0.077511	25	0.213201	2.715316	0.006621
56	58	0.672308	0.377438	0.843394	4.355527	25	0.213201	-0.032308	-0.422057	0.367521	-0.155023	25	0.213201	2.810048	0.004953
56	59	0.726154	0.464214	0.871291	5.065234	25	0.213201	0.193846	-0.217988	0.547080	0.947628	25	0.213201	2.401939	0.016308
56	60	0.397692	0.003031	0.685161	2.078721	25	0.213201	-0.079231	-0.459968	0.326116	-0.381176	25	0.213201	1.659314	0.097053
56	61	0.281538	-0.127818	0.608934	1.407130	25	0.213201	0.109231	-0.298803	0.483500	0.527006	25	0.213201	0.595944	0.551213
56	62	-0.028462	-0.418888	0.370846	-0.136552	25	0.213201	-0.432006	-0.706536	-0.044458	-2.297257	25	0.213201	1.439054	0.150135
56	63	0.504615	0.136744	0.750174	2.803112	25	0.213201	-0.281538	-0.608934	0.127818	-1.407130	25	0.213201	2.801988	0.005079
56	64	0.750769	0.505631	0.883739	5.450736	25	0.213201	-0.150000	-0.514635	0.260582	-0.727607	25	0.213201	3.734042	0.000188
56	65	0.546154	0.192575	0.774212	3.126786	25	0.213201	0.106154	-0.301636	0.481111	0.511989	25	0.213201	1.679301	0.093093
56	66	0.453846	0.071538	0.719885	2.442620	25	0.213201	-0.286923	-0.612607	0.122052	-1.436432	25	0.213201	2.602700	0.009249
56	67	0.320769	-0.085162	0.635374	1.624181	25	0.213201	-0.210769	-0.559325	0.201118	-1.034043	25	0.213201	1.812471	0.069914
56	68	0.239231	-0.172183	0.579581	1.181622	25	0.213201	-0.280769	-0.608408	0.128640	-1.402955	25	0.213201	1.766019	0.077393
56	69	0.701538	0.423911	0.858654	4.721178	25	0.213201	0.552308	0.201046	0.777718	3.177359	25	0.213201	0.824605	0.409596
56	70	0.040769	-0.360170	0.428996	0.195685	25	0.213201	-0.493846	-0.743834	-0.122640	-2.723713	25	0.213201	1.930031	0.053603
56	71	0.025385	-0.373499	0.416346	0.121780	25	0.213201	-0.427692	-0.703876	-0.039175	-2.269150	25	0.213201	1.600136	0.109569
56	72	0.570000	0.225696	0.787720	3.327015	25	0.213201	-0.318462	-0.633839	0.087713	-1.611172	25	0.213201	3.241858	0.001188
56	73	0.176572	-0.234958	0.534423	0.860329	25	0.213201	-0.136180	-0.504187	0.273684	-0.659238	25	0.213201	1.046309	0.295419
56	74	0.876322	0.736058	0.944433	8.724259	25	0.213201	0.431538	0.043884	0.706248	2.294201	25	0.213201	2.978029	0.002901
56	75	0.467488	0.088743	0.728124	2.536191	25	0.213201	0.195385	-0.216465	0.548199	0.955446	25	0.213201	1.024575	0.305564
56	76	0.384615	-0.012408	0.676883	1.998263	25	0.213201	-0.060781	-0.445225	0.342584	-0.292035	25	0.213201	1.546612	0.121957
56	77	0.500000	0.130681	0.747462	2.768875	25	0.213201	0.166154	-0.245073	0.526711	0.808078	25	0.213201	1.265616	0.205651
56	78	0.794615	0.582314	0.905456	6.276987	25	0.213201	0.692308	0.409076	0.853865	4.601136	25	0.213201	0.767655	0.442692
56	79	0.626923	0.308111	0.819142	3.859184	25	0.213201	0.102308	-0.305166	0.478117	0.493239	25	0.213201	2.101625	0.035586
56	80	0.340000	-0.063694	0.648071	1.733878	25	0.213201	0.010000	-0.386665	0.403543	0.047961	25	0.213201	1.141225	0.253776
56	81	0.334615	-0.069743	0.644533	1.702924	25	0.213201	0.095385	-0.311493	0.472706	0.459544	25	0.213201	0.836921	0.402637
56	82	0.306154	-0.101230	0.625609	1.542321	25	0.213201	-0.004615	-0.399025	0.391235	-0.022135	25	0.213201	1.064342	0.287174
56	83	0.392308	-0.003349	0.681762	2.045414	25	0.213201	0.386154	-0.010601	0.677861	2.007654	25	0.213201	0.024055	0.980809
56	84	0.867692	0.719106	0.940405	8.371137	25	0.213201	0.565385	0.219223	0.785122	3.287342	25	0.213201	2.265094	0.023507
56	85	0.560492	0.212394	0.782359	3.245784	25	0.213201	-0.095788	-0.473021	0.311126	-0.461504	25	0.213201	2.419919	0.015524
56	86	0.236154	-0.175346	0.577411	1.165520	25	0.213201	-0.203077	-0.553777	0.208817	-0.994648	25	0.213201	1.481326	0.138520
56	87	0.233077	-0.178500	0.575236	1.149456	25	0.213201	-0.229231	-0.572511	0.182431	-1.129426	25	0.213201	1.561527	0.118399
56	88	0.278130	-0.131454	0.606602	1.388658	25	0.213201	0.042701	-0.358485	0.430573	0.204971	25	0.213201	0.805701	0.420415
56	89	0.637692	0.324261	0.824960	3.970271	25	0.213201	0.073846	-0.330948	0.455687	0.355123	25	0.213201	2.256280	0.024053
56	90	0.663846	0.364257	0.838925	4.257020	25	0.213201	0.054615	-0.348033	0.440252	0.262318	25	0.213201	2.470850	0.013479
