Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
LINC00269	LINC00339	0.808462	0.607341	0.912195	6.587804	25	0.213201	0.746923	0.499084	0.881806	5.387368	25	0.213201	0.519426	0.603464
LINC00269	LINC00342	0.742450	0.491506	0.879553	5.315215	25	0.213201	0.556923	0.207434	0.780338	3.215778	25	0.213201	1.086381	0.277311
LINC00269	LINC00343	0.661538	0.360683	0.837702	4.230670	25	0.213201	0.380000	-0.017812	0.673943	1.970208	25	0.213201	1.311675	0.189630
LINC00269	LINC00345	0.790000	0.574061	0.903197	6.179522	25	0.213201	0.042308	-0.358828	0.430252	0.203082	25	0.213201	3.413135	0.000642
LINC00269	LINC00346	0.459231	0.078302	0.723146	2.479288	25	0.213201	0.338462	-0.065426	0.647062	1.725014	25	0.213201	0.477534	0.632982
LINC00269	LINC00347	0.576923	0.235463	0.791603	3.387403	25	0.213201	0.466923	0.088027	0.727785	2.532274	25	0.213201	0.503165	0.614848
LINC00269	LINC00348	0.813077	0.615773	0.914429	6.698167	25	0.213201	0.818234	0.625249	0.916918	6.825912	25	0.213201	-0.051108	0.959240
LINC00269	LINC00350	0.503077	0.134720	0.749271	2.791664	25	0.213201	0.472308	0.094877	0.731018	2.569800	25	0.213201	0.133927	0.893460
LINC00269	LINC00351	0.426923	0.038236	0.703401	2.264158	25	0.213201	0.340769	-0.062828	0.648575	1.738315	25	0.213201	0.335527	0.737227
LINC00269	LINC00353	0.622308	0.301246	0.816637	3.812707	25	0.213201	0.546154	0.192575	0.774212	3.126786	25	0.213201	0.384327	0.700736
LINC00269	LINC00354	0.529231	0.169549	0.764497	2.991359	25	0.213201	0.549336	0.196950	0.776027	3.152849	25	0.213201	-0.094041	0.925077
LINC00269	LINC00355	0.653077	0.347653	0.833202	4.135854	25	0.213201	0.740000	0.487371	0.878316	5.276359	25	0.213201	-0.563276	0.573247
