##The total sample size of case group is 25.
##The total sample size of control group is 25.
Marker1	Marker2	group1_pearson	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_pearson	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
0	38	0.028595	-0.370731	0.418998	0.137194	25	0.213201	-0.502469	-0.748914	-0.133921	-2.787153	25	0.213201	1.927646	0.053899
0	39	-0.077525	-0.458613	0.327650	-0.372918	25	0.213201	0.388437	-0.007915	0.679310	2.021625	25	0.213201	-1.617313	0.105811
0	40	-0.459498	-0.723308	-0.078639	-2.481119	25	0.213201	0.611766	0.285688	0.810886	3.708953	25	0.213201	-4.007855	0.000061
0	41	0.151321	-0.259322	0.515628	0.734164	25	0.213201	0.771230	0.540940	0.893945	5.810471	25	0.213201	-2.888332	0.003873
0	42	-0.249938	-0.587094	0.161110	-1.237953	25	0.213201	0.647707	0.339444	0.830334	4.077088	25	0.213201	-3.405128	0.000661
0	43	0.280694	-0.128720	0.608357	1.402548	25	0.213201	-0.194438	-0.547511	0.217402	-0.950637	25	0.213201	1.609828	0.107435
0	44	0.216146	-0.195706	0.563183	1.061697	25	0.213201	0.445626	0.061279	0.714884	2.387290	25	0.213201	-0.861061	0.389204
0	45	0.107877	-0.300050	0.482449	0.520397	25	0.213201	0.555421	0.205352	0.779487	3.203230	25	0.213201	-1.717643	0.085862
0	46	-0.246965	-0.585014	0.164195	-1.222263	25	0.213201	0.847023	0.679212	0.930673	7.642062	25	0.213201	-4.967312	6.788737e-07
0	47	-0.015565	-0.408192	0.381922	-0.074655	25	0.213201	0.021117	-0.377167	0.412810	0.101298	25	0.213201	-0.121675	0.903156
0	48	0.022741	-0.375773	0.414157	0.109092	25	0.213201	0.444517	0.059901	0.714207	2.379883	25	0.213201	-1.509399	0.131197
0	49	0.362098	-0.038556	0.662453	1.862982	25	0.213201	0.815910	0.620972	0.915798	6.767751	25	0.213201	-2.537753	0.011157
0	50	0.028329	-0.370961	0.418779	0.135918	25	0.213201	0.553378	0.202524	0.778326	3.186226	25	0.213201	-1.973059	0.048489
0	51	-0.053725	-0.439532	0.348817	-0.258029	25	0.213201	-0.575648	-0.790890	-0.233658	-3.376199	25	0.213201	1.997113	0.045813
0	52	0.234828	-0.176706	0.576475	1.158595	25	0.213201	0.680522	0.390350	0.847711	4.454142	25	0.213201	-1.959439	0.050061
