Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
0	26	48.000000	5.000000	1.191508	6.157237	23.064058	7.696552e-26	-0.005603	-0.136107	0.892372	-0.004821	-0.214316	0.831314	-0.243122	-0.539749	0.592155	-3.016141	-1.382450	0.173972
0	27	48.000000	5.000000	0.383862	6.976073	22.590767	1.756441e-25	-0.031321	-0.657805	0.514170	-0.015809	-0.607560	0.546675	0.246455	0.473015	0.638595	-0.845915	-0.335193	0.739109
0	28	48.000000	5.000000	0.813678	7.945531	30.018183	1.774660e-30	-0.049513	-1.213181	0.231683	0.024174	1.083836	0.284477	0.352693	0.789724	0.434022	0.037917	0.017529	0.986096
0	29	48.000000	5.000000	0.618542	2.641595	7.213643	6.320213e-09	0.023848	0.422362	0.674865	-0.033559	-1.087557	0.282849	-0.658565	-1.065871	0.292430	0.578692	0.193368	0.847582
0	30	48.000000	5.000000	1.331666	8.852055	36.583977	4.920706e-34	-0.017204	-0.461121	0.647036	0.021484	1.053697	0.297907	-0.239952	-0.587746	0.559777	-2.431291	-1.229510	0.225566
0	31	48.000000	5.000000	1.513551	7.809726	27.143696	1.087942e-28	0.053322	1.201953	0.235960	0.020891	0.861676	0.393646	-0.369758	-0.761672	0.450414	3.527364	1.500139	0.140886
0	32	48.000000	5.000000	0.977864	7.015809	9.742656	1.893105e-12	-0.057489	-0.517763	0.607277	0.021737	0.358226	0.721927	-1.732664	-1.426038	0.161077	-0.997385	-0.169477	0.866216
0	33	48.000000	5.000000	0.575535	6.175459	22.101116	4.189114e-25	-0.039322	-0.912692	0.366494	0.023536	0.999605	0.323094	-0.389585	-0.826351	0.413167	1.243787	0.544677	0.588789
0	34	48.000000	5.000000	0.184569	8.143744	15.005239	1.066613e-18	0.013276	0.158647	0.874690	0.001935	0.042310	0.966447	-0.712331	-0.777890	0.440893	2.228964	0.502539	0.617852
0	35	48.000000	5.000000	0.339186	5.392948	10.809497	7.713818e-14	0.015082	0.196062	0.845485	-0.023921	-0.569007	0.572312	0.288057	0.342196	0.733871	2.297315	0.563440	0.576062
0	36	48.000000	5.000000	0.438708	4.445270	10.275285	3.761417e-13	-0.036152	-0.541963	0.590641	-0.012809	-0.351362	0.727033	-0.552505	-0.756919	0.453226	4.334011	1.225840	0.226930
0	37	48.000000	5.000000	1.572842	1.522459	4.606118	0.000036	0.073122	1.434771	0.158586	-0.029664	-1.065067	0.292790	-0.138972	-0.249192	0.804399	4.430618	1.640219	0.108256
0	38	48.000000	5.000000	0.945349	1.837607	6.569082	5.431635e-08	-0.004622	-0.107155	0.915165	-0.016141	-0.684759	0.497171	0.544788	1.154242	0.254776	0.799255	0.349611	0.728337
0	39	48.000000	5.000000	0.492945	3.852660	8.031265	4.281205e-10	-0.026909	-0.363809	0.717784	-0.041076	-1.016179	0.315228	-0.495328	-0.611975	0.543777	-0.601529	-0.153436	0.878772
0	40	48.000000	5.000000	0.613938	4.590580	17.020258	1.016373e-20	0.053504	1.286569	0.205128	-0.014642	-0.644272	0.522821	-0.097259	-0.213721	0.831775	-1.068944	-0.484955	0.630169
0	41	48.000000	5.000000	0.431394	5.681214	20.057594	1.892763e-23	-0.020560	-0.470764	0.640189	0.015191	0.636496	0.527827	-0.447072	-0.935475	0.354768	0.376369	0.162592	0.871601
0	42	48.000000	5.000000	0.269257	3.339351	12.839193	2.622438e-16	0.015314	0.381860	0.704446	-0.011950	-0.545266	0.588388	0.022828	0.052020	0.958754	1.383446	0.650858	0.518601
