Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
hsa-miR-1	ABCB1	48	5	4.176018	6.048892	13.821982	2.014481e-17	-0.132723	-1.966918	0.055667	0.033903	0.919369	0.363031	-2.145916	-2.906194	0.005761	-0.182104	-0.050917	0.959627
hsa-miR-1	ABCB10	48	5	0.455284	7.011576	9.24792	8.766139e-12	-0.055103	-0.471353	0.639771	-0.032962	-0.515936	0.608542	0.097276	0.076042	0.939738	5.343624	0.862407	0.393248
hsa-miR-1	ABCB11	48	5	1.278265	3.076823	13.877831	1.747212e-17	0.021951	0.642113	0.524209	0.017398	0.931278	0.356909	0.789198	2.10971	0.040742	-2.598762	-1.434279	0.158726
hsa-miR-1	ABCB4	48	5	1.607966	4.803501	8.648945	5.828024e-11	0.046179	0.539255	0.592492	-0.071809	-1.534413	0.132254	0.787479	0.840353	0.405359	-8.257565	-1.819304	0.075832
hsa-miR-1	ABCB5	48	5	0.668377	2.703113	12.884953	2.320981e-16	0.006422	0.198536	0.843562	0.026289	1.487142	0.144274	0.249493	0.704847	0.484706	-0.486417	-0.283711	0.777994
hsa-miR-1	ABCB6	48	5	0.9606	4.849952	16.207783	6.309439e-20	-0.026052	-0.564633	0.575257	0.01433	0.568323	0.572772	-0.72761	-1.441126	0.156792	-0.057292	-0.023428	0.981417
hsa-miR-1	ABCB7	48	5	0.893372	7.443956	29.205713	5.471413e-30	0.005652	0.143825	0.886311	-0.03163	-1.472749	0.148101	0.336663	0.782846	0.438008	0.050009	0.024008	0.980957
hsa-miR-1	ABCB8	48	5	0.153345	4.268512	12.716765	3.640425e-16	0.022572	0.436121	0.664931	-0.011335	-0.400759	0.690582	0.152493	0.269258	0.789019	0.673408	0.245486	0.807248
hsa-miR-1	ABCB9	48	5	0.383984	4.763907	16.863289	1.438904e-20	0.002771	0.063611	0.949574	-0.020574	-0.864285	0.392227	-0.458312	-0.961518	0.341668	0.829386	0.359239	0.721174
hsa-miR-1	ABCC1	48	5	1.118998	6.635501	32.543919	6.348865e-32	-0.022178	-0.705448	0.484336	0.029702	1.728772	0.091025	0.23529	0.683939	0.497683	-2.129633	-1.278053	0.208087
hsa-miR-1	ABCC10	48	5	1.078862	6.971954	25.383343	1.647411e-27	-0.041803	-0.987067	0.329132	0.02329	1.006302	0.3199	-0.547655	-1.181731	0.243807	-0.436992	-0.194677	0.846562
hsa-miR-1	ABCC11	48	5	0.766985	3.169885	10.767865	8.715999e-14	0.051722	1.139486	0.260809	0.020858	0.840857	0.40508	-0.104934	-0.211262	0.833681	-0.886156	-0.368336	0.71443
hsa-miR-1	ABCC12	48	5	3.187529	3.215061	12.971256	1.844825e-16	-0.088139	-2.306244	0.025981	0.044138	2.113323	0.040415	-0.230362	-0.550835	0.584597	4.021562	1.985344	0.053508
