##The total sample size of case group is 25.
##The total sample size of control group is 25.
Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
0	38	0.107692	-0.300220	0.482306	0.519495	25	0.213201	-0.286154	-0.612083	0.122877	-1.432237	25	0.213201	1.334887	0.181913
0	39	-0.183077	-0.539208	0.228597	-0.893101	25	0.213201	0.136923	-0.272984	0.504752	0.662903	25	0.213201	-1.071114	0.284118
0	40	-0.424615	-0.701975	-0.035421	-2.249219	25	0.213201	0.532128	0.173464	0.766168	3.014177	25	0.213201	-3.470576	0.000519
0	41	0.029231	-0.370182	0.419523	0.140246	25	0.213201	0.739515	0.486554	0.878071	5.268728	25	0.213201	-3.051858	0.002274
0	42	-0.156154	-0.519252	0.254699	-0.758188	25	0.213201	0.667692	0.370234	0.840959	4.301423	25	0.213201	-3.197257	0.001387
0	43	0.144615	-0.265705	0.510577	0.700919	25	0.213201	0.141538	-0.268622	0.508251	0.685698	25	0.213201	0.010418	0.991688
0	44	0.218462	-0.193368	0.564841	1.073638	25	0.213201	0.366154	-0.033886	0.665068	1.887060	25	0.213201	-0.537075	0.591216
0	45	0.140769	-0.269350	0.507668	0.681895	25	0.213201	0.266590	-0.143683	0.598664	1.326526	25	0.213201	-0.436066	0.662789
0	46	-0.083077	-0.463015	0.322652	-0.399805	25	0.213201	0.681538	0.391955	0.848243	4.466552	25	0.213201	-3.035542	0.002401
0	47	-0.163077	-0.524422	0.248044	-0.792701	25	0.213201	-0.010769	-0.404187	0.386011	-0.051650	25	0.213201	-0.510019	0.610038
0	48	0.024615	-0.374161	0.415709	0.118087	25	0.213201	0.243077	-0.168218	0.582286	1.201802	25	0.213201	-0.741005	0.458691
0	49	0.260769	-0.149804	0.594636	1.295425	25	0.213201	0.810769	0.611552	0.913313	6.642534	25	0.213201	-2.860046	0.004236
0	50	0.001538	-0.393838	0.396435	0.007378	25	0.213201	0.685385	0.398047	0.850255	4.513971	25	0.213201	-2.778206	0.005466
0	51	-0.038462	-0.427108	0.362180	-0.184592	25	0.213201	-0.213846	-0.561535	0.198024	-1.049856	25	0.213201	0.592740	0.553355
0	52	0.227692	-0.183999	0.571419	1.121431	25	0.213201	0.555876	0.205982	0.779745	3.207025	25	0.213201	-1.310369	0.190071
0	53	0.273077	-0.136824	0.603134	1.361374	25	0.213201	0.801538	0.594778	0.908832	6.428777	25	0.213201	-2.728637	0.006360
0	54	0.343077	-0.060225	0.650087	1.751652	25	0.213201	0.406154	0.013123	0.690479	2.131577	25	0.213201	-0.243510	0.807611
0	55	-0.093077	-0.470896	0.313594	-0.448327	25	0.213201	-0.156154	-0.519252	0.254699	-0.758188	25	0.213201	0.212578	0.831656
0	56	-0.542308	-0.772013	-0.187308	-3.095546	25	0.213201	-0.204615	-0.554889	0.207281	-1.002512	25	0.213201	-1.326232	0.184763
0	57	0.180769	-0.230858	0.537513	0.881460	25	0.213201	0.647172	0.338630	0.830048	4.071296	25	0.213201	-1.948980	0.051298
0	58	0.341538	-0.061961	0.649080	1.742757	25	0.213201	0.242308	-0.169012	0.581746	1.197761	25	0.213201	0.360215	0.718687
0	59	-0.373077	-0.669516	0.025875	-1.928447	25	0.213201	-0.087324	-0.466370	0.318814	-0.420399	25	0.213201	-1.009731	0.312624
