##The total sample size of case group is 25.
##The total sample size of control group is 25.
Marker1	Marker2	group1_pearson	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_pearson	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
0	37	-0.513647	-0.755456	-0.148687	-2.871046	25	0.213201	0.139604	-0.270453	0.506785	0.676137	25	0.213201	-2.348807	0.018834
0	38	0.063414	-0.340249	0.447342	0.304734	25	0.213201	0.540340	0.184620	0.770886	3.079668	25	0.213201	-1.794746	0.072694
0	39	-0.177153	-0.534851	0.234391	-0.863251	25	0.213201	0.318615	-0.087544	0.633941	1.612035	25	0.213201	-1.688649	0.091287
0	40	-0.281462	-0.608882	0.127900	-1.406715	25	0.213201	0.340910	-0.062669	0.648668	1.739129	25	0.213201	-2.137204	0.032581
0	41	-0.010034	-0.403571	0.386636	-0.048125	25	0.213201	0.652119	0.346186	0.832692	4.125298	25	0.213201	-2.616857	0.008874
0	42	-0.281488	-0.608900	0.127872	-1.406857	25	0.213201	0.555533	0.205507	0.779550	3.204163	25	0.213201	-3.036856	0.002391
0	43	0.214939	-0.196923	0.562319	1.055482	25	0.213201	0.155321	-0.255497	0.518628	0.754044	25	0.213201	0.204821	0.837712
0	44	0.225376	-0.186357	0.569773	1.109410	25	0.213201	0.557080	0.207651	0.780427	3.217090	25	0.213201	-1.324249	0.185420
0	45	-0.139917	-0.507023	0.270156	-0.677685	25	0.213201	0.561140	0.213296	0.782726	3.251257	25	0.213201	-2.571501	0.010126
0	46	-0.173485	-0.532144	0.237965	-0.844815	25	0.213201	0.630651	0.313681	0.821160	3.897214	25	0.213201	-3.043846	0.002336
0	47	0.189971	-0.221817	0.544254	0.927969	25	0.213201	0.596721	0.263779	0.802613	3.566298	25	0.213201	-1.644156	0.100144
0	48	0.000517	-0.394701	0.395573	0.002477	25	0.213201	0.207574	-0.204322	0.557024	1.017656	25	0.213201	-0.696884	0.485875
0	49	0.551990	0.200608	0.777537	3.174731	25	0.213201	0.740206	0.487718	0.878420	5.279613	25	0.213201	-1.093480	0.274183
0	50	-0.066337	-0.449687	0.337651	-0.318844	25	0.213201	0.228938	-0.182730	0.572303	1.127902	25	0.213201	-0.993338	0.320545
0	51	-0.071853	-0.454098	0.332731	-0.345489	25	0.213201	0.481085	0.106120	0.736263	2.631766	25	0.213201	-1.977942	0.047935
0	52	0.175848	-0.235664	0.533889	0.856687	25	0.213201	0.513764	0.148843	0.755524	2.871938	25	0.213201	-1.293933	0.195689
0	53	0.261682	-0.148846	0.595268	1.300293	25	0.213201	0.499847	0.130480	0.747372	2.767742	25	0.213201	-0.932596	0.351028
0	54	0.252010	-0.158956	0.588542	1.248908	25	0.213201	0.032839	-0.367061	0.422494	0.157575	25	0.213201	0.745271	0.456108
0	55	0.155973	-0.254872	0.519117	0.757289	25	0.213201	0.208504	-0.203390	0.557694	1.022423	25	0.213201	-0.180261	0.856948
0	56	-0.293427	-0.617024	0.115050	-1.472021	25	0.213201	0.412258	0.020453	0.694296	2.170117	25	0.213201	-2.456427	0.014033
0	57	-0.196746	-0.549188	0.215115	-0.962369	25	0.213201	0.574115	0.231493	0.790030	3.362779	25	0.213201	-2.829029	0.004669
