##The total sample size of case group is 50.
##The total sample size of control group is 50.
Marker1	Marker2	group1_pearson	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_pearson	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
0	42	0.883060	0.801788	0.932261	13.037560	50	0.145865	-0.384456	-0.598735	-0.118818	-2.885343	50	0.145865	8.700480	3.304847e-18
0	43	0.815695	0.695185	0.891608	9.769197	50	0.145865	0.301758	0.025552	0.535160	2.192863	50	0.145865	4.035034	0.000055
0	44	0.912732	0.850445	0.949782	15.477809	50	0.145865	0.119132	-0.164681	0.384727	0.831292	50	0.145865	6.902863	5.096494e-12
0	45	0.940309	0.896640	0.965860	19.142563	50	0.145865	0.051344	-0.230300	0.325051	0.356191	50	0.145865	8.189278	2.627987e-16
0	46	0.307965	0.032389	0.540025	2.242642	50	0.145865	-0.124348	-0.389228	0.159526	-0.868247	50	0.145865	2.148931	0.031640
0	47	0.933196	0.884634	0.961732	17.990961	50	0.145865	0.337478	0.065256	0.562949	2.483836	50	0.145865	6.453909	1.090010e-10
0	48	0.937068	0.891163	0.963981	18.594532	50	0.145865	0.145811	-0.138149	0.407619	1.021119	50	0.145865	7.594300	3.094612e-14
0	49	-0.644650	-0.782577	-0.446399	-5.842243	50	0.145865	0.113567	-0.170165	0.379910	0.791938	50	0.145865	-4.266679	0.000020
0	50	0.653398	0.458421	0.788367	5.979906	50	0.145865	-0.163413	-0.422546	0.120417	-1.147586	50	0.145865	4.586377	4.510036e-06
0	51	-0.903778	-0.944519	-0.835649	-14.629786	50	0.145865	0.320241	0.045988	0.549602	2.342037	50	0.145865	-8.844043	9.231624e-19
0	52	0.854577	0.756075	0.915222	11.400746	50	0.145865	0.192399	-0.090817	0.446822	1.358359	50	0.145865	5.226072	1.731491e-07
0	53	0.936810	0.890726	0.963830	18.552521	50	0.145865	-0.349549	-0.572225	-0.078871	-2.584802	50	0.145865	10.065008	7.888079e-24
0	54	0.639720	0.439656	0.779303	5.766407	50	0.145865	0.167150	-0.116628	0.425697	1.174577	50	0.145865	2.855116	0.004302
0	55	-0.796246	-0.879638	-0.665363	-9.118691	50	0.145865	0.173228	-0.110450	0.430808	1.218584	50	0.145865	-6.123902	9.131116e-10
0	56	0.903581	0.835324	0.944403	14.612363	50	0.145865	0.158862	-0.125018	0.418700	1.114788	50	0.145865	6.453108	1.095793e-10
0	57	0.755009	0.603483	0.853906	7.977326	50	0.145865	0.144355	-0.139607	0.406379	1.010710	50	0.145865	4.067843	0.000047
0	58	-0.586552	-0.743513	-0.368338	-5.017528	50	0.145865	0.063381	-0.218832	0.335809	0.440002	50	0.145865	-3.567214	0.000361
0	59	0.947934	0.909584	0.970271	20.622169	50	0.145865	0.015299	-0.264179	0.292406	0.106005	50	0.145865	8.705009	3.175509e-18
0	60	-0.908857	-0.947507	-0.844029	-15.096176	50	0.145865	0.478493	0.230893	0.667890	3.775345	50	0.145865	-9.898679	4.218106e-23
