0	0	0	0	0
0.000157	0.020101	0.114832	0.297109	0.554298
0.000628	0.040405	0.184832	0.429398	0.751889
0.001414	0.060918	0.245099	0.535054	0.903056
0.002515	0.081644	0.300151	0.627145	1.031323
0.003932	0.102587	0.351846	0.710723	1.145476
0.005666	0.123751	0.401173	0.788373	1.249915
0.007717	0.145141	0.448739	0.861629	1.347207
0.010087	0.166763	0.494948	0.931492	1.439
0.012778	0.188621	0.540088	0.998654	1.526428
0.015791	0.210721	0.584374	1.063623	1.610308
0.019128	0.233068	0.627972	1.126782	1.691252
0.022792	0.255667	0.671012	1.188429	1.769734
0.026784	0.278524	0.713602	1.248803	1.846128
0.031108	0.301646	0.75583	1.308099	1.920739
0.035766	0.325038	0.797771	1.366477	1.993816
0.040761	0.348707	0.83949	1.424075	2.065569
0.046097	0.372659	0.881043	1.481009	2.136174
0.051777	0.396902	0.922479	1.53738	2.205784
0.057805	0.421442	0.963843	1.593277	2.274533
0.064185	0.446287	1.005174	1.648777	2.342534
0.070921	0.471445	1.04651	1.70395	2.409893
0.078019	0.496923	1.087883	1.75886	2.4767
0.085483	0.52273	1.129325	1.813563	2.543038
0.093319	0.548874	1.170866	1.868113	2.608983
0.101531	0.575364	1.212533	1.922558	2.674603
0.110127	0.60221	1.254352	1.976942	2.739962
0.119112	0.629421	1.29635	2.03131	2.805118
0.128493	0.657008	1.33855	2.0857	2.870128
0.138277	0.684981	1.380976	2.140151	2.935041
0.148472	0.71335	1.423652	2.194698	2.999908
0.159085	0.742127	1.466601	2.249378	3.064775
0.170126	0.771325	1.509845	2.304225	3.129686
0.181602	0.800955	1.553407	2.35927	3.194684
0.193524	0.831031	1.59731	2.414547	3.259811
0.2059	0.861566	1.641576	2.470087	3.325107
0.218742	0.892574	1.686228	2.525923	3.390613
0.232061	0.924071	1.731289	2.582085	3.456366
0.245868	0.956072	1.776784	2.638604	3.522406
0.260175	0.988593	1.822735	2.695513	3.588771
0.274996	1.021651	1.869168	2.752843	3.6555
0.290344	1.055265	1.916108	2.810625	3.722629
0.306235	1.089454	1.963581	2.868893	3.790199
0.322683	1.124238	2.011612	2.92768	3.858249
0.339704	1.159637	2.060232	2.98702	3.926817
0.357317	1.195674	2.109467	3.046946	3.995944
0.37554	1.232372	2.159347	3.107497	4.065673
0.394392	1.269757	2.209905	3.168707	4.136044
0.413893	1.307853	2.261173	3.230617	4.207102
0.434067	1.346689	2.313184	3.293265	4.278892
0.454936	1.386294	2.365974	3.356694	4.35146
0.476526	1.4267	2.419581	3.420946	4.424856
0.498863	1.467938	2.474045	3.486067	4.499129
0.521976	1.510045	2.529407	3.552105	4.574333
0.545895	1.553058	2.585712	3.61911	4.650522
0.570652	1.597015	2.643005	3.687134	4.727757
0.596282	1.641961	2.701338	3.756233	4.806096
0.622823	1.68794	2.760762	3.826468	4.885606
0.650315	1.735001	2.821334	3.897899	4.966356
0.678801	1.783196	2.883114	3.970595	5.048417
0.708326	1.832581	2.946166	4.044626	5.131867
0.738942	1.883217	3.010559	4.12007	5.21679
0.770702	1.935168	3.076368	4.197006	5.303273
0.803664	1.988505	3.143671	4.275524	5.391411
0.837893	2.043302	3.212555	4.355718	5.481307
0.873457	2.099644	3.283112	4.437689	5.57307
0.910431	2.157619	3.355445	4.521549	5.666819
0.948898	2.217325	3.429662	4.607416	5.762683
0.988946	2.278869	3.505882	4.695422	5.860802
1.030676	2.342366	3.584238	4.785709	5.961329
