Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
cg02839557	ABCF3	48	5	0.396302	6.841853	140.412735	6.980442e-59	-0.040658	-0.159229	0.874234	-0.011923	-0.614006	0.542446	-0.215397	-0.570354	0.571406	-0.672366	-0.362115	0.71904
cg02839557	ABCG1	48	5	1.175687	6.30857	59.638805	5.556409e-43	0.107549	0.19402	0.847074	0.063529	1.507067	0.139106	-0.558662	-0.681428	0.499255	4.442912	1.102234	0.276491
cg02839557	ABCG2	48	5	0.510927	4.873175	21.179176	2.250931e-24	-1.211906	-1.005096	0.320473	0.040543	0.442161	0.660589	0.4528	0.253908	0.800777	7.641187	0.871497	0.388323
cg02839557	ABCG4	48	5	1.851959	5.500226	83.81414	2.779036e-49	-0.009241	-0.026871	0.978687	-0.030627	-1.171131	0.247995	-1.313167	-2.58184	0.013318	3.206665	1.282326	0.206599
cg02839557	ABCG5	48	5	1.742414	3.035932	33.497223	1.921012e-32	0.747833	1.574575	0.122684	-0.0617	-1.708322	0.094787	0.862674	1.228106	0.226087	-3.985781	-1.154086	0.254839
cg02839557	ABCG8	48	5	0.705401	4.335277	44.971962	8.583746e-38	0.333922	0.661016	0.512128	-0.033709	-0.87749	0.385097	0.493989	0.661173	0.512029	1.290219	0.351234	0.727128
cg02839557	ABHD1	48	5	4.919897	3.853877	59.57037	5.834249e-43	0.360284	1.062721	0.293841	0.010363	0.40195	0.689712	0.407785	0.813272	0.420542	-10.037377	-4.071559	0.000197
cg02839557	ABHD10	48	5	0.232988	6.641105	65.69323	9.085482e-45	-0.391382	-0.738793	0.464047	0.004894	0.121478	0.903878	0.282719	0.360835	0.71999	1.492744	0.387502	0.700296
cg02839557	ABHD11	48	5	0.241165	6.018332	126.584618	5.962183e-57	0.076243	0.306017	0.761068	0.011543	0.609236	0.545574	-0.037948	-0.102982	0.918456	0.727993	0.401828	0.689801
cg02839557	ABHD12	48	5	0.618803	4.98482	63.058769	5.18798e-44	-0.129368	-0.312296	0.756325	0.007783	0.247079	0.806023	0.314836	0.51387	0.609974	2.845307	0.944568	0.350157
cg02839557	ABHD12B	48	5	2.570876	2.50927	53.394234	6.071834e-41	0.112873	0.45833	0.649024	-0.049109	-2.622229	0.012034	-0.009632	-0.026445	0.979024	2.547953	1.422808	0.162007
cg02839557	ABHD13	48	5	0.665452	4.792522	30.54064	8.729748e-31	-0.100682	-0.122436	0.903125	-0.066174	-1.058202	0.295872	0.430848	0.354251	0.724882	4.11709	0.688513	0.494828
cg02839557	ABHD14A	48	5	0.804886	7.091572	108.692871	4.096733e-54	-0.533622	-1.560753	0.125913	-0.001456	-0.055985	0.955613	-0.331444	-0.655453	0.515668	1.785755	0.718271	0.476475
cg02839557	ABHD14A-ACY1	48	5	1.813102	5.339157	79.719917	2.362184e-48	-0.311812	-0.88844	0.379247	0.064119	2.402406	0.020677	0.662795	1.276868	0.208501	-3.377082	-1.323256	0.192744
cg02839557	ABHD14B	48	5	0.472226	7.34394	105.653778	1.380686e-53	0.05689	0.156182	0.87662	-0.011193	-0.404095	0.688145	-0.122599	-0.22757	0.821059	-2.484156	-0.93787	0.353549
cg02839557	ABHD15	48	5	2.047044	5.833221	80.42617	1.62059e-48	-0.555332	-1.46111	0.151255	0.011897	0.411615	0.682666	-0.517215	-0.920096	0.362656	-2.566688	-0.928689	0.358235
cg02839557	ABHD16A	48	5	0.719697	6.158378	154.627441	1.113078e-60	-0.241887	-1.158977	0.252861	-0.004929	-0.310586	0.757616	-0.237307	-0.768784	0.446224	0.228837	0.150784	0.880851
cg02839557	ABHD16B	48	5	0.580398	3.525233	33.553059	1.792868e-32	0.274925	0.499344	0.620082	0.028077	0.670598	0.506063	-0.621809	-0.763615	0.449267	-1.267981	-0.316712	0.752994
cg02839557	ABHD17A	48	5	1.824389	10.273551	169.663559	2.07165e-62	-0.524034	-1.651463	0.10593	0.032113	1.330824	0.190261	-0.344657	-0.734392	0.466696	-1.262121	-0.546987	0.587215
cg02839557	ABHD17B	48	5	0.671441	5.196189	56.519142	5.442094e-42	0.022312	0.046313	0.963276	0.043462	1.186281	0.242025	-0.335246	-0.470487	0.640385	2.935682	0.837969	0.406682
cg02839557	ABHD17C	48	5	1.035376	4.889837	42.061226	1.432439e-36	0.742304	1.218459	0.229693	-0.084783	-1.830051	0.07418	-0.504744	-0.560185	0.578261	2.15617	0.486719	0.628929
cg02842889	A1BG	48	5	0.173063	5.600044	86.450668	7.393253e-50	-0.166291	-0.438537	0.663192	0.017563	0.650398	0.518895	-0.149154	-0.280344	0.780558	0.625807	0.234801	0.815478
cg02842889	A1BG-AS1	48	5	1.628645	4.889692	72.20578	1.616845e-46	0.694595	1.752196	0.086869	0.029753	1.053983	0.297777	0.587861	1.056927	0.296447	-1.898536	-0.681385	0.499282
cg02842889	A1CF	48	5	2.383584	3.424324	67.253281	3.343383e-45	0.52279	1.753987	0.086558	-0.027157	-1.279468	0.207593	-0.070046	-0.167495	0.867766	-4.71277	-2.249561	0.029651
cg02842889	A2M	48	5	0.971759	3.966086	57.584702	2.462728e-42	0.338078	0.838538	0.406366	0.005955	0.207423	0.836659	0.853665	1.509082	0.138591	-4.965678	-1.752292	0.086852
cg02842889	A2M-AS1	48	5	0.684233	7.57592	39.479912	2.039926e-35	-0.361307	-0.321646	0.749279	0.051679	0.646055	0.521677	-2.127713	-1.350001	0.18408	7.038263	0.891434	0.377657
cg02842889	A2ML1	48	5	0.753473	2.932604	58.071522	1.722488e-42	0.320338	1.083626	0.284569	-0.020533	-0.975384	0.334826	-0.081	-0.195287	0.846088	-2.218659	-1.067784	0.291576
cg02842889	A2MP1	48	5	1.098629	4.280147	47.532108	8.311452e-39	-0.792901	-1.504208	0.139838	0.056548	1.506464	0.13926	0.828909	1.120768	0.268607	-1.48925	-0.401956	0.689707
cg02842889	A4GALT	48	5	0.751965	4.914956	101.053566	9.293277e-53	0.129415	0.454546	0.651722	0.007542	0.371994	0.711724	-0.256728	-0.642667	0.523852	-1.850192	-0.924553	0.360358
cg02842889	A4GNT	48	5	2.551537	4.454854	69.486084	8.311837e-46	-0.686969	-1.83047	0.074116	0.067524	2.526597	0.015279	0.914615	1.736933	0.089559	-3.028188	-1.147969	0.257328
cg02842889	AA06	48	5	1.555956	4.379157	57.14378	3.413083e-42	-0.816451	-1.819992	0.075726	0.052123	1.631634	0.11006	-0.326002	-0.517939	0.607156	0.572564	0.181587	0.85676
cg02842889	AAAS	48	5	0.189076	5.805125	69.981529	6.139793e-46	-0.143426	-0.295366	0.769136	0.010644	0.307807	0.759715	-0.383872	-0.563428	0.57607	0.13556	0.039718	0.968502
cg02842889	AACS	48	5	3.712458	6.530007	142.346954	3.880851e-59	-0.482733	-1.797639	0.079258	0.052974	2.770205	0.008239	-0.619184	-1.643366	0.107601	1.336612	0.708146	0.482676
cg02842889	AACSP1	48	5	1.317029	3.135969	41.23978	3.278565e-36	0.091396	0.205321	0.838291	0.025095	0.791672	0.432898	1.085646	1.738253	0.089323	0.033287	0.010639	0.991561
cg02842889	AADAC	48	5	1.270753	3.461527	58.390099	1.365335e-42	-0.054039	-0.155719	0.876983	0.023911	0.967585	0.338663	-0.864998	-1.776506	0.082725	3.140547	1.287537	0.204794
cg02842889	AADACL2	48	5	1.360405	2.070037	30.085644	1.618293e-30	-0.215781	-0.535741	0.594898	-0.010248	-0.357311	0.722607	1.129476	1.998658	0.051993	-4.293518	-1.516622	0.13668
cg02842889	AADACP1	48	5	1.012574	2.3672	25.108709	2.555035e-27	-0.283782	-0.514203	0.609742	-0.014728	-0.37475	0.709688	0.700378	0.904487	0.370777	3.614593	0.93182	0.356632
cg02842889	AADAT	48	5	1.401746	3.259962	45.689705	4.404669e-38	0.562341	1.346377	0.185236	-0.05673	-1.907354	0.063169	-0.51019	-0.870599	0.388808	2.606655	0.887917	0.379525
