Marker1	Marker2	Correlation	Lower	Upper	t-statistic
LINC00269	LINC00459	0.616903	0.408737	0.764055	5.430513
LINC00271	LINC00272	0.473636	0.224939	0.664396	3.725867
LINC00271	LINC00273	0.510876	0.271071	0.690970	4.117301
LINC00271	LINC00276	-0.355966	-0.577134	-0.086150	-2.639070
LINC00271	LINC00278	0.137146	-0.146811	0.400220	0.959240
LINC00271	LINC00280	0.017239	-0.262373	0.294180	0.119452
LINC00271	LINC00290	0.375423	0.108398	0.591920	2.806278
LINC00271	LINC00293	0.611044	0.400875	0.760113	5.347979
LINC00271	LINC00294	0.620933	0.414164	0.766760	5.488136
LINC00271	LINC00297	0.721008	0.553801	0.832319	7.208982
LINC00271	LINC00298	0.090420	-0.192785	0.359719	0.629026
LINC00271	LINC00299	-0.394007	-0.605908	-0.129901	-2.970013
LINC00271	LINC00301	0.387140	0.121927	0.600755	2.909029
LINC00271	LINC00303	0.568081	0.344147	0.730864	4.782393
LINC00271	LINC00304	0.591164	0.374424	0.746654	5.078051
LINC00271	LINC00305	0.567601	0.343522	0.730534	4.776429
LINC00271	LINC00308	0.170384	-0.113344	0.428418	1.197975
LINC00271	LINC00309	0.720882	0.553618	0.832238	7.206342
LINC00271	LINC00310	0.442017	0.186626	0.641448	3.414001
LINC00271	LINC00311	0.607650	0.396333	0.757823	5.300797
LINC00271	LINC00313	0.461801	0.210507	0.655848	3.607112
LINC00271	LINC00314	0.764964	0.618257	0.860163	8.228620
LINC00271	LINC00315	0.762474	0.614552	0.858600	8.164488
LINC00271	LINC00319	0.854214	0.755498	0.915004	11.382795
LINC00271	LINC00320	0.368451	0.100395	0.586639	2.745887
LINC00271	LINC00322	0.804485	0.677945	0.884722	9.383655
LINC00271	LINC00324	0.440309	0.184579	0.640198	3.397633
LINC00271	LINC00326	0.777095	0.636400	0.867748	8.554198
LINC00271	LINC00327	0.655702	0.461599	0.789887	6.016849
LINC00271	LINC00330	0.440832	0.185205	0.640581	3.402637
LINC00271	LINC00331	0.398358	0.134971	0.609164	3.008953
LINC00271	LINC00332	0.283649	0.005751	0.520876	2.049352
LINC00271	LINC00334	0.883287	0.802156	0.932396	13.052795
LINC00271	LINC00337	0.634013	0.431878	0.775505	5.680126
LINC00271	LINC00339	0.685954	0.503795	0.809704	6.531254
LINC00271	LINC00342	0.811804	0.689185	0.889221	9.631868
LINC00271	LINC00343	0.709676	0.537501	0.825048	6.978823
LINC00271	LINC00345	0.362593	0.093697	0.582186	2.695557
LINC00271	LINC00346	0.735606	0.574987	0.841629	7.523412
LINC00271	LINC00347	0.626345	0.421474	0.770385	5.566626
LINC00271	LINC00348	0.757443	0.607087	0.855438	8.037546
LINC00271	LINC00350	0.230636	-0.050990	0.478284	1.642168
LINC00271	LINC00351	0.667579	0.478061	0.797701	6.212064
LINC00271	LINC00353	0.883890	0.803135	0.932754	13.093485
LINC00271	LINC00354	0.779755	0.640399	0.869406	8.628695
LINC00271	LINC00355	0.771909	0.628624	0.864510	8.412239
LINC00271	LINC00358	0.714478	0.544392	0.828134	7.074951
LINC00271	LINC00362	0.278367	0.000016	0.516685	2.007951
LINC00271	LINC00363	0.727539	0.563252	0.836492	7.347013
LINC00271	LINC00364	0.400048	0.136945	0.610427	3.024148
